Datetime,ID,Username,Text,Translated_Tweets,Location
2022-03-23 03:11:00+00:00,1.51E+18,tokmathamzah,"Di Dewan Negara menjawab soalan Datuk Haji Bashir bin Haji Alias minta @mafimalaysia menyatakan apakah mekanisme bagi mengatasi masalah rantaian bekalan makanan ke Labuan yang mengakibatkan kekurangan bekalan makanan dan kenaikan mendadak harga barangan.
https://t.co/SVQdTuvL3o","The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @Mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",
2022-03-23 03:11:00+00:00,1.51E+18,tokmathamzah,"Di Dewan Negara menjawab soalan Datuk Haji Bashir bin Haji Alias minta @mafimalaysia menyatakan apakah mekanisme bagi mengatasi masalah rantaian bekalan makanan ke Labuan yang mengakibatkan kekurangan bekalan makanan dan kenaikan mendadak harga barangan.
https://t.co/SVQdTuvL3o","The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @Mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",
2022-03-23 03:11:00+00:00,1.51E+18,tokmathamzah,"Di Dewan Negara menjawab soalan Datuk Haji Bashir bin Haji Alias minta @mafimalaysia menyatakan apakah mekanisme bagi mengatasi masalah rantaian bekalan makanan ke Labuan yang mengakibatkan kekurangan bekalan makanan dan kenaikan mendadak harga barangan.
https://t.co/SVQdTuvL3o","The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @Mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",
2022-03-23 03:11:00+00:00,1.51E+18,tokmathamzah,"Di Dewan Negara menjawab soalan Datuk Haji Bashir bin Haji Alias minta @mafimalaysia menyatakan apakah mekanisme bagi mengatasi masalah rantaian bekalan makanan ke Labuan yang mengakibatkan kekurangan bekalan makanan dan kenaikan mendadak harga barangan.
https://t.co/SVQdTuvL3o","The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @Mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",
2022-06-11 10:53:09+00:00,1.54E+18,myDOA_HQ,"Langkah tangani kekurangan bekalan makanan - MAFI

#myDOA#MAHA2022#SekuritiMakanan#KeselamatanMakanan https://t.co/TBcymV5jkJ","Steps to handle the lack of food supply - Mafi

#mydoa#maha2022#securities#safety of https://t.co/tbcymv5jkj",Putrajaya Federal Territory
2022-06-11 10:53:09+00:00,1.54E+18,myDOA_HQ,"Langkah tangani kekurangan bekalan makanan - MAFI

#myDOA#MAHA2022#SekuritiMakanan#KeselamatanMakanan https://t.co/TBcymV5jkJ","Steps to handle the lack of food supply - Mafi

#mydoa#maha2022#securities#safety of https://t.co/tbcymv5jkj",Putrajaya Federal Territory
2022-06-11 10:53:09+00:00,1.54E+18,myDOA_HQ,"Langkah tangani kekurangan bekalan makanan - MAFI

#myDOA#MAHA2022#SekuritiMakanan#KeselamatanMakanan https://t.co/TBcymV5jkJ","Steps to handle the lack of food supply - Mafi

#mydoa#maha2022#securities#safety of https://t.co/tbcymv5jkj",Putrajaya Federal Territory
2022-08-16 03:32:26+00:00,1.56E+18,amar_amk9757,Masalah kekurangan bekalan makanan asas yang diimport menyedarkan ramai pihak tentang betapa pentingnya kita mengurangkan kebergantungan kepada import dan mengangkat industri tempatan. https://t.co/SoLVLfWLfH,The problem of shortage of imported basic food supplies awakens many people about the importance of reducing dependence on imports and lifting the local industry. https://t.co/solvlfwlfh,"Perlis, Malaysia"
2023-03-02 05:12:14+00:00,1.63E+18,ProudOrangAsli,Saya difahamkan bahawa tiada lagi agensi2 kerajaan yang turun membantu penduduk kampung. Mereka sekarang kekurangan bekalan makanan! @DrZahidHamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/P6VkoV1omv,I understand that no more government agencies are down to help the villagers. They are now shortage of food! @Drzahidhamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/p6vkov1omv,
2023-03-02 05:12:14+00:00,1.63E+18,ProudOrangAsli,Saya difahamkan bahawa tiada lagi agensi2 kerajaan yang turun membantu penduduk kampung. Mereka sekarang kekurangan bekalan makanan! @DrZahidHamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/P6VkoV1omv,I understand that no more government agencies are down to help the villagers. They are now shortage of food! @Drzahidhamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/p6vkov1omv,
2023-03-02 05:12:14+00:00,1.63E+18,ProudOrangAsli,Saya difahamkan bahawa tiada lagi agensi2 kerajaan yang turun membantu penduduk kampung. Mereka sekarang kekurangan bekalan makanan! @DrZahidHamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/P6VkoV1omv,I understand that no more government agencies are down to help the villagers. They are now shortage of food! @Drzahidhamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/p6vkov1omv,
2023-03-02 05:12:14+00:00,1.63E+18,ProudOrangAsli,Saya difahamkan bahawa tiada lagi agensi2 kerajaan yang turun membantu penduduk kampung. Mereka sekarang kekurangan bekalan makanan! @DrZahidHamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/P6VkoV1omv,I understand that no more government agencies are down to help the villagers. They are now shortage of food! @Drzahidhamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/p6vkov1omv,
2023-03-02 17:34:55+00:00,1.63E+18,naimbinzaini,"Patutlah @rafiziramli ckp serampang dua mata.

Selain dpt atasi kekurangan bekalan makanan, dpt bantu tingkatkan pendapatan golongan B40.

B40 dpt pendapatan tambahan. ✅️
Bekalan makanan dpt ditingkatkan. ✅️

Kill two birds with one stone. Harap² program ni berhasil.","It should be @rafiziramli ckp for two eyes.

In addition to being able to overcome the shortage of food supply, it can help increase the income of the B40.

B40 can be additional income. ✅️
Food supply can be improved. ✅️

Kill two birds with one stone. Hope this program works.",Kuala Lumpur
2023-03-02 17:34:55+00:00,1.63E+18,naimbinzaini,"Patutlah @rafiziramli ckp serampang dua mata.

Selain dpt atasi kekurangan bekalan makanan, dpt bantu tingkatkan pendapatan golongan B40.

B40 dpt pendapatan tambahan. ✅️
Bekalan makanan dpt ditingkatkan. ✅️

Kill two birds with one stone. Harap² program ni berhasil.","It should be @rafiziramli ckp for two eyes.

In addition to being able to overcome the shortage of food supply, it can help increase the income of the B40.

B40 can be additional income. ✅️
Food supply can be improved. ✅️

Kill two birds with one stone. Hope this program works.",Kuala Lumpur
2023-03-14 04:51:03+00:00,1.64E+18,jaksrmd,Usaha2 untuk memastikan Negara tidak menghadapi masalah kekurangan bekalan makanan hasil pertanian di masa mendatang. https://t.co/G6iSfm9TMt,Efforts to ensure that the country does not face the shortage of agricultural food supply in the future. https://t.co/G6ISFM9TMT,Selangor
2023-03-14 04:51:03+00:00,1.64E+18,jaksrmd,Usaha2 untuk memastikan Negara tidak menghadapi masalah kekurangan bekalan makanan hasil pertanian di masa mendatang. https://t.co/G6iSfm9TMt,Efforts to ensure that the country does not face the shortage of agricultural food supply in the future. https://t.co/G6ISFM9TMT,Selangor
2023-03-14 04:51:03+00:00,1.64E+18,jaksrmd,Usaha2 untuk memastikan Negara tidak menghadapi masalah kekurangan bekalan makanan hasil pertanian di masa mendatang. https://t.co/G6iSfm9TMt,Efforts to ensure that the country does not face the shortage of agricultural food supply in the future. https://t.co/G6ISFM9TMT,Selangor
2023-03-14 04:51:03+00:00,1.64E+18,jaksrmd,Usaha2 untuk memastikan Negara tidak menghadapi masalah kekurangan bekalan makanan hasil pertanian di masa mendatang. https://t.co/G6iSfm9TMt,Efforts to ensure that the country does not face the shortage of agricultural food supply in the future. https://t.co/G6ISFM9TMT,Selangor
